"고유번호","구명","법정동명","산지여부","주지번","부지번","새주소명","소재지","지목한글","수목면적","수종한글","본수","과명","학명","수령","수고","흉고둘레","수관너비","활력도","지정품목","지정년월일","수목구분내용","가치등급","소유자","관리자","병해종류명","병해피해도","병해관리상태","병해관리방안","충해종류명","충해피해도","충해관리상태","충해관리방안","기타피해상태","기타피해관리","지정사유","나무의특징","연혁 및 전설","기타","수목고유번호","품계등급","생성일","사진파일명","경도","위도"
"211","서대문구"," "," "," "," "," ","서대문구 홍은동 319번지","종교용지","0E-8","느티나무","1","느릅나무과","Zelkova serrata makino","115.00000000","15.00000000","215.00000000","19.00000000","3.00000000","서13-6","1981.10.27","풍치수","2.00000000","백련사(서대문구 홍은동 319)","백련사(서대문구 홍은동 319)"," "," "," "," ","진딧물","심"," ","약제방제","고사지쇠약지발생 수세쇠약","고사지 쇠약지 제거 영양공급"," "," "," ","백련사내 주택 옹벽용철사이에 분이 형성 생육공간이","21","0E-8",""," ","126.9272217","37.5865497"
"212","서대문구"," "," "," "," "," ","서대문구 봉원동","종교용지","0E-8","회화나무","1","콩과","Sophora japonica L.","210.00000000","16.00000000","300.00000000","20.00000000","3.00000000","서13-7","2000.12.20","풍치수","2.00000000","봉원사(서대문구 봉원동 산2-1)","봉원사(서대문구 봉원동 산2-1)"," "," "," "," ","진딧물","중"," ","약제방제","고사지 쇠약지발생 가지가 지붕위로 뻗어있어 매우","고사지및쇠약지 제거"," "," "," "," ","22","0E-8",""," ","126.9481586","37.5716598"
"213","서대문구"," "," "," "," "," ","서대문구 봉원동 산2-1번지","종교용지","0E-8","느티나무","1","느릅나무과","Zelkova serrata makino","300.00000000","18.00000000","347.00000000","19.00000000","3.00000000","서13-1","1968.7.3","풍치수","2.00000000","봉원사(서대문구 봉원동 산2-1)","봉원사(서대문구 봉원동 산2-1)"," "," "," "," ","풍뎅이류 진딧물 섭식성해충","심"," ","약제방제"," "," "," "," "," ","석축으로 분","16","0E-8",""," ","126.9478368","37.5718611"
"214","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","낙우송","1","낙우송과","Taxodium distichum(L)Richrad","80.00000000","23.00000000","236.00000000","6.00000000","2.00000000","후보목"," "," ","3.00000000","임업연구원"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","14-6","32.00000000",""," ","127.0355464","37.5790986"
"215","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","낙우송","1","낙우송과","Taxodium distichum(L)Richrad","80.00000000","23.00000000","152.00000000","6.00000000","2.00000000","후보목"," "," ","3.00000000","임업연구원"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","14-5","28.00000000",""," ","127.0355765","37.5791105"
"216","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","낙우송","1","낙우송과","Taxodium distichum(L)Richrad","80.00000000","23.00000000","255.00000000","6.00000000","2.00000000","후보목"," "," ","3.00000000","임업연구원"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","14-4","36.00000000",""," ","127.0355615","37.5791118"
"217","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","낙우송","1","낙우송과","Taxodium distichum(L)Richrad","80.00000000","23.00000000","230.00000000","6.00000000","2.00000000","후보목"," "," ","3.00000000","임업연구원"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","14-1","32.00000000",""," ","127.0355607","37.5791231"
"218","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","낙우송","1","낙우송과","Taxodium distichum(L)Richrad","80.00000000","23.00000000","290.00000000","6.00000000","2.00000000","후보목"," "," ","3.00000000","임업연구원"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","14","36.00000000",""," ","127.0355457","37.5791237"
"219","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","노블포플러","1","버드나무과","Populus noble","80.00000000","34.00000000","240.00000000","12.00000000","2.00000000","후보목"," "," ","3.00000000","임업연구원"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","17-1","33.00000000",""," ","127.0525084","37.5806033"
"220","동대문구"," "," "," "," "," ","동대문구 청량2동 207번지","대지","0E-8","칠엽수","1","칠엽수과","Aesculus tubinata BL","80.00000000","20.00000000","125.00000000","10.00000000","2.00000000","후보목"," "," ","2.00000000","임업연구원"," "," "," "," "," "," "," "," "," ","휴게실내에 위치하여 토양답압","보호책설치 경운실시"," "," "," "," ","26-1","28.00000000",""," ","127.0373642","37.572817"
