"고유번호","구명","수목고유번호","구번호","동명","순번","수목명","흉고지름","수고","수관너비","위치","주변토지사용상태","품계흉고","품계활력","품계수형","품계수종","품계위치","관리등급","피해상태","학명","식생활력","품계등급","관리기관","경도","위도"
"5154","중구","2-소공동-큰-0032","02","소공동","32.00000000","아카시아나무","37.00000000","29.00000000","17.00000000","덕수궁","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","126.9736699","37.5674511"
"5155","중구","2-장충동-큰-0312","02","장충동","312.00000000","은행나무","23.00000000","7.00000000","5.00000000","서울클럽","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","127.00254","37.5528161"
"5156","중구","2-태평로1가동-큰-0131","02","태평로1가동","131.00000000","잣나무","25.00000000","6.00000000","4.00000000","장교동 중소기업은행","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Pinus koraiensis S. et Z.","2.00000000","34.00000000","공원녹지과","126.9866633","37.5667975"
"5157","중구","2-신당2동-큰-0025","02","신당2동","25.00000000","소나무","26.00000000","6.00000000","6.00000000"," ","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","36.00000000","공원녹지과","127.0087372","37.554375"
"5158","중구","2-중림동-큰-0085","02","중림동","85.00000000","은행나무","29.00000000","28.00000000","8.00000000","손기정공원","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","33.00000000","공원녹지과","126.9643276","37.554981"
"5159","중구","2-광희동-큰-0033","02","광희동","33.00000000","은행나무","20.00000000","15.00000000","7.00000000","쌍림어린이공원","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","33.00000000","공원녹지과","127.004926","37.5644442"
"5160","중구","2-회현동-큰-0209","02","회현동","209.00000000","은행나무","21.00000000","7.00000000","6.00000000","연세빌딩","70","5.00000000","10.00000000","6.00000000","6","9","3.00000000","2.00000000","Ginkgo biloba L.","0E-8","0E-8","공원녹지과","126.9735364","37.556752"
"5161","중구","2-명동-큰-0091","02","명동","91.00000000","은행나무","22.00000000","29.00000000","8.00000000","숭의여대별관","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","126.9884297","37.5577728"
"5162","중구","2-남대문로5가동-큰-0010","02","남대문로5가동","10.00000000","양버즘나무","57.00000000","40.00000000","13.00000000","서울열차사무소","60","15.00000000","10.00000000","6.00000000","2","9","2.00000000","1.00000000","Platanus occidentalis L.","2.00000000","42.00000000","공원녹지과","126.9700005","37.5578879"
"5163","중구","2-태평로1가동-큰-0017","02","태평로1가동","17.00000000","소나무","20.00000000","17.00000000","1.00000000","롯데호텔","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","36.00000000","공원녹지과","126.9776391","37.5685406"
"5164","중구","2-태평로1가동-큰-0025","02","태평로1가동","25.00000000","은행나무","55.00000000","27.00000000","8.00000000","한국제강","30","15.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Ginkgo biloba L.","2.00000000","46.00000000","공원녹지과","126.9841163","37.5671624"
"5165","중구","2-광희동-큰-0046","02","광희동","46.00000000","느티나무","35.00000000","14.00000000","8.00000000","을지로주유소","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","127.0053181","37.5662883"
"5166","중구","2-광희동-큰-0106","02","광희동","106.00000000","은행나무","24.00000000","9.00000000","5.00000000","217-2","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","127.0073048","37.5625271"
"5167","중구","2-신당1동-큰-0113","02","신당1동","113.00000000","대추나무","28.00000000","4.00000000","4.00000000","50-3","10","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Zizyphus jujuba var.","2.00000000","34.00000000","공원녹지과","127.0095917","37.5603161"
"5168","중구","2-신당5동-큰-0006","02","신당5동","6.00000000","은행나무","26.00000000","10.00000000","5.00000000","52-50","10","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","127.0195454","37.5627965"
"5169","중구","2-신당1동-큰-0032","02","신당1동","32.00000000","느티나무","22.00000000","4.00000000","4.00000000","무궁화회관","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","127.0157023","37.569171"
"5170","중구","2-신당1동-큰-0044","02","신당1동","44.00000000","은행나무","20.00000000","8.00000000","4.00000000","성동기계공고","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","127.0173137","37.56859"
"5171","중구","2-신당5동-큰-0018","02","신당5동","18.00000000","느티나무","43.00000000","8.00000000","6.00000000","성동고교","60","10.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Zelkova serrata Makino","2.00000000","41.00000000","공원녹지과","127.0228451","37.5645197"
"5172","중구","2-신당1동-큰-0048","02","신당1동","48.00000000","향나무","24.00000000","4.00000000","2.00000000","신당1동 393-3","10","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juniperus chinensis L.","2.00000000","34.00000000","공원녹지과","127.0097761","37.5621773"
"5240","중구","2-신당2동-큰-0052","02","신당2동","52.00000000","소나무","20.00000000","3.00000000","2.00000000","432-1671","10","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","36.00000000","공원녹지과","127.0057618","37.5488447"
"5241","중구","2-명동-큰-0107","02","명동","107.00000000","가래나무","42.00000000","27.00000000","12.00000000","숭의여대별관","60","10.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juglans mandshurica.","2.00000000","39.00000000","공원녹지과","126.9879578","37.5593004"
"5242","중구","2-필동-큰-0039","02","필동","39.00000000","아카시아나무","29.00000000","22.00000000","9.00000000","한국의집","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","126.9926966","37.5569063"
"5243","중구","2-충무로45동-큰-0065","02","충무로45동","65.00000000","소나무","20.00000000","5.00000000","4.00000000","목정주차장","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","36.00000000","공원녹지과","126.9995467","37.5636437"
"5244","중구","2-태평로1가동-큰-0112","02","태평로1가동","112.00000000","느티나무","60.00000000","6.00000000","5.00000000","장교동 쁘렝땅백화점","30","15.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Zelkova serrata Makino","2.00000000","46.00000000","공원녹지과","126.9872955","37.567212"
"5245","중구","2-소공동-큰-0179","02","소공동","179.00000000","느티나무","27.00000000","17.00000000","7.00000000","체스프라자","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","126.9723557","37.564202"
"5246","중구","2-광희동-큰-0003","02","광희동","3.00000000","은행나무","35.00000000","7.00000000","2.00000000","방산동공원","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","33.00000000","공원녹지과","127.0043714","37.5676417"
"5247","중구","2-충무로45동-큰-0099","02","충무로45동","99.00000000","양버즘나무","60.00000000","8.00000000","8.00000000","덕수중학교","60","15.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Platanus occidentalis L.","2.00000000","46.00000000","공원녹지과","126.9979212","37.5652392"
